CustomerID,SubscriptionType,OrderFrequency,TotalSpend,NumOrders,DeliveryPreference,AvgOrderValue,CustomerRating,Churn
2001,Basic,Weekly,845,113,Home Delivery,131.25,3.3,1
2002,Premium,Monthly,4086,47,Pick-up,142.54,2.72,1
2003,Basic,Daily,4738,57,Home Delivery,24.83,2.1,0
2004,Basic,Daily,3161,118,Home Delivery,31.68,4.07,0
2005,Basic,Daily,1374,45,Home Delivery,142.26,1.91,1
2006,Premium,Daily,367,161,Home Delivery,113.11,3.77,0
2007,Basic,Daily,2446,145,Home Delivery,133.62,1.93,1
2008,Basic,Daily,2212,198,Home Delivery,38.37,3.5,0
2009,Basic,Daily,2795,4,Home Delivery,92.26,3.99,0
2010,Premium,Weekly,1641,148,Home Delivery,108.16,1.87,1
2011,Basic,Monthly,3161,47,Pick-up,105.22,1.24,1
2012,Basic,Daily,3980,143,Home Delivery,67.14,1.52,1
2013,Basic,Weekly,2046,198,Home Delivery,12.16,3.42,0
2014,Basic,Weekly,1362,47,Home Delivery,91.61,4.4,1
2015,Premium,Monthly,1335,78,Home Delivery,45.43,1.18,1
2016,Basic,Daily,4361,124,Pick-up,73.04,3.94,1
2017,Premium,Monthly,2433,75,Pick-up,144.06,2.37,1
2018,Premium,Daily,3289,103,Pick-up,65.86,2.91,1
2019,Premium,Weekly,2189,137,Pick-up,127.57,4.72,0
2020,Basic,Weekly,1754,90,Pick-up,36.4,2.33,1
2021,Premium,Weekly,412,144,Pick-up,104.14,2.86,1
2022,Basic,Weekly,2654,69,Pick-up,146.78,1.05,0
2023,Premium,Monthly,1766,61,Pick-up,24.27,1.33,1
2024,Premium,Daily,4501,138,Pick-up,11.16,2.03,1
2025,Premium,Daily,4336,50,Pick-up,70.7,1.11,1
2026,Premium,Monthly,3788,3,Pick-up,22.97,3.53,1
2027,Premium,Daily,2519,107,Pick-up,114.77,2.71,1
2028,Premium,Weekly,4845,113,Pick-up,138.04,3.19,0
2029,Premium,Daily,606,94,Pick-up,70.76,1.7,0
2030,Premium,Weekly,875,118,Pick-up,46.22,2.18,0
2031,Basic,Monthly,2858,198,Pick-up,70.82,3.66,1
2032,Basic,Daily,4571,81,Home Delivery,111.28,4.86,0
2033,Premium,Monthly,2769,109,Pick-up,11.27,1.2,1
2034,Premium,Daily,3558,51,Home Delivery,92.52,4.56,1
2035,Premium,Weekly,3791,147,Pick-up,95.86,3.31,1
2036,Basic,Monthly,1624,170,Pick-up,99.28,3.26,0
2037,Premium,Daily,4048,35,Home Delivery,43.88,3.0,0
2038,Basic,Weekly,2179,46,Pick-up,109.97,1.28,0
2039,Basic,Monthly,2453,154,Home Delivery,22.79,1.36,1
2040,Basic,Monthly,3379,69,Home Delivery,37.9,3.4,0
2041,Basic,Daily,638,93,Home Delivery,132.85,2.36,1
2042,Basic,Daily,2062,64,Pick-up,113.42,4.67,0
2043,Premium,Daily,1597,165,Pick-up,11.92,2.63,0
2044,Premium,Weekly,344,49,Pick-up,44.77,1.57,1
2045,Premium,Daily,2035,149,Home Delivery,40.02,3.86,1
2046,Premium,Monthly,3167,74,Home Delivery,47.91,2.17,0
2047,Premium,Monthly,1740,192,Pick-up,44.66,3.1,0
2048,Basic,Daily,1186,5,Pick-up,18.75,3.79,0
2049,Premium,Daily,2114,100,Pick-up,74.25,4.6,1
2050,Premium,Monthly,4505,70,Pick-up,112.58,4.17,1
2051,Basic,Weekly,4845,90,Pick-up,94.94,3.71,0
2052,Premium,Daily,4593,4,Home Delivery,104.2,3.72,0
2053,Basic,Daily,4820,126,Home Delivery,21.36,4.78,1
2054,Premium,Monthly,1057,39,Home Delivery,143.21,2.18,0
2055,Basic,Daily,2564,163,Pick-up,127.39,1.0,1
2056,Premium,Weekly,3576,129,Home Delivery,122.71,2.09,1
2057,Premium,Monthly,4731,24,Home Delivery,125.22,1.87,1
2058,Basic,Daily,1297,57,Home Delivery,140.58,3.65,1
2059,Basic,Monthly,3952,100,Home Delivery,86.2,3.53,1
2060,Basic,Daily,1485,70,Home Delivery,38.04,3.37,1
2061,Basic,Daily,621,41,Pick-up,96.35,1.06,0
2062,Basic,Daily,2432,182,Home Delivery,114.0,3.92,1
2063,Basic,Weekly,1295,174,Pick-up,113.31,2.29,1
